,Id,t (Myr),x (pc),y (pc),z (pc)
0,0,0.0,-8321.270882244631,-6.7668677212578405,17.236886164155788
1,1,0.0,-8312.397095833436,-11.364569369722393,16.455577992014895
2,2,0.0,-8267.585585472234,18.967895589881753,0.5049616742202794
3,3,0.0,-8301.552457324611,-21.32201256291402,10.675882972517066
4,4,0.0,-8257.405922743714,6.903310346699684,2.986247252050589
5,5,0.0,-8280.469217396218,-18.943199768708226,2.3935282283263994
6,6,0.0,-8279.620776593343,-13.457515669162614,7.0064338072320185
7,7,0.0,-8254.306043836308,-15.169083267027672,14.850310892451642
8,8,0.0,-8338.942493550716,-1.9932257408270573,43.52206412040988
9,9,0.0,-8247.708518427766,7.256835909088457,-1.6359788869325271
10,10,0.0,-8258.722187059295,-12.802563937336359,5.543710487015217
11,11,0.0,-8254.857358425956,6.925659815595711,3.6790727818343134
12,12,0.0,-8278.154886610731,12.247063769545992,6.671858738491653
13,13,0.0,-8285.442942133892,-18.593888908426077,-1.2537100014889295
14,14,0.0,-8363.977401375498,-15.819838951697758,25.361982804692307
15,15,0.0,-8254.602321981198,-21.65107427149263,20.97305157066201
16,16,0.0,-8267.597318295002,-23.654371364685502,25.63315512102571
17,17,0.0,-8329.238386562096,-14.556353929988475,15.821391111034028
18,18,0.0,-8258.463560544775,-20.756595216673567,6.891670806240832
19,19,0.0,-8258.482381535752,-20.76313758717096,6.751376703617932
20,20,0.0,-8328.027381262336,19.747132625797374,6.9450127136639646
21,21,0.0,-8328.053467007461,19.76495004186047,6.929586101966351
22,22,0.0,-8320.250852435942,-13.85845198659335,16.116293806290365
23,23,0.0,-8286.074777027168,-17.777778740957167,23.33279053058136
24,24,0.0,-8277.133099801851,-12.892126573744614,15.361867957629395
25,25,0.0,-8330.119172739847,20.228928468715544,8.187605736425056
26,26,0.0,-8330.231134965295,20.29910908499613,8.117387439436285
27,27,0.0,-8319.04031547538,11.357595342979801,11.307712092611688
28,0,0.1,-8321.223231495127,-28.880305090708816,17.398840760667067
29,1,0.1,-8312.256002407868,-33.55364120749357,16.51675339928769
30,2,0.1,-8267.709177527522,-3.2437687308619774,0.6734109160777673
31,3,0.1,-8301.549570457939,-43.48058707183215,10.788392861724981
32,4,0.1,-8257.408167395675,-15.27242994095349,3.0055942661881168
33,5,0.1,-8280.497520473109,-41.12977440555637,2.3934686633109457
34,6,0.1,-8279.587942072454,-35.75933014392577,7.313919846468195
35,7,0.1,-8254.630372760685,-37.25794401706366,15.041863146418741
36,8,0.1,-8338.395933669046,-23.731458062102032,43.73017236562884
37,9,0.1,-8248.042400767472,-14.879234477049682,-1.4530343721021974
38,10,0.1,-8258.920133819367,-34.98403540075225,5.610280017822273
