,Id,t (Myr),x (pc),y (pc),z (pc)
0,0,0.0,-8226.000735605117,-90.22265126363754,26.99155201687785
1,1,0.0,-8243.152783286587,-77.77984144006892,29.666804479432248
2,2,0.0,-8226.665175709208,-107.18832532822056,55.43932428196004
3,3,0.0,-8257.006100479719,-92.20158648725372,36.18658083032523
4,4,0.0,-8227.104430206628,-94.57315911171827,40.603894361290756
5,5,0.0,-8255.091470344934,-91.98639804917777,35.917021593083575
6,6,0.0,-8249.607018200168,-93.4538712386332,48.58716768413263
7,7,0.0,-8242.460470937385,-89.2695052510512,51.33233428108016
8,8,0.0,-8234.87894753268,-88.00945774928135,32.92156966584769
9,9,0.0,-8222.252446808861,-86.83764770840227,52.895508411905574
10,10,0.0,-8233.863375348035,-84.60806652459586,34.30425453083458
11,11,0.0,-8261.86804122312,-96.2134733526149,39.23296754164593
12,12,0.0,-8253.169400142053,-96.51691095853272,33.01742720611496
13,13,0.0,-8245.397518882899,-69.72473574070564,58.46951208968905
14,14,0.0,-8237.187978959366,-125.63363889354281,63.880015096620156
15,15,0.0,-8244.939778828444,-78.14466619904837,30.971304749613648
16,0,0.1,-8226.441054876253,-111.82063962519796,27.02637161926322
17,1,0.1,-8243.445492247301,-99.53307413712855,29.4972588113436
18,2,0.1,-8227.014088945753,-128.6972100865579,55.137986376098205
19,3,0.1,-8257.12830606782,-113.88822376373695,36.24549265661956
20,4,0.1,-8227.556581807334,-116.26429754248412,40.37712676834338
21,5,0.1,-8255.298757564544,-113.67499364851753,35.864518598391626
22,6,0.1,-8249.86840170248,-114.97534656629973,48.441802148966474
23,7,0.1,-8242.779306905339,-110.8566336986952,51.189180345077034
24,8,0.1,-8235.29999062565,-109.64684469613007,32.887785570169854
25,9,0.1,-8222.809422817036,-108.40294583762535,52.71550691230001
26,10,0.1,-8234.244661513118,-106.38244881683957,34.27961844114269
27,11,0.1,-8262.100348361297,-117.65559786366802,39.13130403924854
28,12,0.1,-8253.470144506215,-117.99525873398184,33.01240640153241
29,13,0.1,-8245.730013506942,-91.35373907414869,58.20416287124654
30,14,0.1,-8237.45171093389,-146.9755132770762,63.580486113386925
31,15,0.1,-8245.232819331315,-99.79322665645127,30.97831199096722
32,0,0.2,-8226.88137414739,-133.41862798675837,27.061191221648585
33,1,0.2,-8243.738201208014,-121.2863068341882,29.327713143254947
34,2,0.2,-8227.363002182296,-150.20609484489526,54.836648470236355
35,3,0.2,-8257.25051165592,-135.57486104022018,36.304404482913895
36,4,0.2,-8228.008733408042,-137.95543597324996,40.150359175396
37,5,0.2,-8255.506044784153,-135.36358924785728,35.81201560369968
38,6,0.2,-8250.129785204796,-136.49682189396628,48.296436613800324
39,7,0.2,-8243.09814287329,-132.4437621463392,51.04602640907391
40,8,0.2,-8235.721033718619,-131.28423164297882,32.854001474492016
41,9,0.2,-8223.36639882521,-129.96824396684843,52.53550541269444
42,10,0.2,-8234.625947678202,-128.15683110908327,34.254982351450806
43,11,0.2,-8262.332655499473,-139.09772237472114,39.02964053685115
44,12,0.2,-8253.770888870376,-139.47360650943097,33.00738559694987
45,13,0.2,-8246.062508130984,-112.98274240759172,57.938813652804036
46,14,0.2,-8237.715442908413,-168.31738766060963,63.280957130153695
47,15,0.2,-8245.525859834188,-121.44178711385415,30.985319232320794
48,0,0.3,-8227.321693418526,-155.0166163483188,27.096010824033957
49,1,0.3,-8244.030910168727,-143.0395395312478,29.1581674751663
50,2,0.3,-8227.711915418842,-171.71497960323265,54.53531056437451
51,3,0.3,-8257.37271724402,-157.2614983167034,36.36331630920822
52,4,0.3,-8228.460885008748,-159.6465744040158,39.923591582448616
53,5,0.3,-8255.713332003763,-157.05218484719705,35.75951260900773
54,6,0.3,-8250.39116870711,-158.01829722163282,48.151071078634175
55,7,0.3,-8243.416978841244,-154.03089059398317,50.90287247307079
56,8,0.3,-8236.142076811591,-152.92161858982755,32.82021737881418
57,9,0.3,-8223.923374833385,-151.53354209607153,52.355503913088874
58,10,0.3,-8235.007233843284,-149.93121340132697,34.230346261758925
59,11,0.3,-8262.564962637649,-160.53984688577424,38.92797703445376
60,12,0.3,-8254.071633234538,-160.95195428488006,33.002364792367324
61,13,0.3,-8246.395002755025,-134.61174574103478,57.67346443436153
62,14,0.3,-8237.979174882938,-189.65926204414305,62.98142814692047
63,15,0.3,-8245.818900337059,-143.09034757125704,30.99232647367437
64,0,0.4,-8227.762012689662,-176.61460470987916,27.130830426419323
65,1,0.4,-8244.32361912944,-164.79277222830743,28.98862180707765
66,2,0.4,-8228.060828655385,-193.22386436156998,54.23397265851268
67,3,0.4,-8257.49492283212,-178.94813559318663,36.42222813550256
68,4,0.4,-8228.913036609456,-181.33771283478166,39.69682398950124
69,5,0.4,-8255.920619223372,-178.74078044653683,35.70700961431578
70,6,0.4,-8250.652552209423,-179.53977254929936,48.005705543468025
71,7,0.4,-8243.735814809197,-175.6180190416272,50.75971853706767
72,8,0.4,-8236.56311990456,-174.5590055366763,32.78643328313634
73,9,0.4,-8224.480350841557,-173.09884022529462,52.17550241348331
74,10,0.4,-8235.388520008366,-171.7055956935707,34.205710172067036
75,11,0.4,-8262.797269775825,-181.98197139682736,38.82631353205637
76,12,0.4,-8254.3723775987,-182.4303020603292,32.99734398778478
77,13,0.4,-8246.727497379068,-156.2407490744778,57.40811521591902
78,14,0.4,-8238.242906857462,-211.00113642767647,62.681899163687234
79,15,0.4,-8246.11194083993,-164.73890802865995,30.99933371502794
80,0,0.5,-8228.202331960798,-198.21259307143956,27.16565002880469
81,1,0.5,-8244.616328090153,-186.54600492536707,28.819076138989
82,2,0.5,-8228.40974189193,-214.7327491199073,53.93263475265083
83,3,0.5,-8257.617128420221,-200.63477286966986,36.48113996179689
84,4,0.5,-8229.365188210162,-203.0288512655475,39.47005639655386
85,5,0.5,-8256.127906442982,-200.42937604587658,35.65450661962383
86,6,0.5,-8250.913935711738,-201.0612478769659,47.86034000830187
87,7,0.5,-8244.054650777149,-197.2051474892712,50.616564601064546
88,8,0.5,-8236.98416299753,-196.19639248352505,32.7526491874585
89,9,0.5,-8225.037326849731,-194.66413835451772,51.99550091387774
90,10,0.5,-8235.769806173448,-193.4799779858144,34.181074082375154
91,11,0.5,-8263.029576914,-203.4240959078805,38.72465002965898
92,12,0.5,-8254.673121962862,-203.90864983577833,32.99232318320224
93,13,0.5,-8247.05999200311,-177.86975240792086,57.142765997476516
94,14,0.5,-8238.506638831986,-232.34301081120987,62.38237018045401
95,15,0.5,-8246.404981342803,-186.38746848606286,31.006340956381514
96,0,0.6,-8228.642651231936,-219.810581433,27.200469631190057
97,1,0.6,-8244.909037050867,-208.2992376224267,28.649530470900352
98,2,0.6,-8228.758655128473,-236.2416338782447,53.631296846788985
99,3,0.6,-8257.73933400832,-222.32141014615308,36.540051788091226
100,4,0.6,-8229.81733981087,-224.71998969631332,39.243288803606475
101,5,0.6,-8256.335193662591,-222.11797164521636,35.60200362493188
102,6,0.6,-8251.175319214051,-222.58272320463246,47.71497447313572
103,7,0.6,-8244.373486745102,-218.79227593691522,50.47341066506142
104,8,0.6,-8237.405206090501,-217.83377943037374,32.71886509178066
105,9,0.6,-8225.594302857906,-216.2294364837408,51.81549941427218
106,10,0.6,-8236.151092338532,-215.25436027805813,34.156437992683266
107,11,0.6,-8263.261884052175,-224.8662204189336,38.62298652726159
108,12,0.6,-8254.973866327024,-225.38699761122746,32.98730237861969
109,13,0.6,-8247.392486627154,-199.49875574136388,56.877416779034014
110,14,0.6,-8238.77037080651,-253.6848851947433,62.08284119722078
111,15,0.6,-8246.698021845674,-208.03602894346574,31.013348197735088
112,0,0.7,-8229.082970503072,-241.4085697945604,27.23528923357543
