,Id,t (Myr),x (pc),y (pc),z (pc)
0,0,0.0,-8177.2209680312135,-76.18800341675805,87.48254458034613
1,1,0.0,-8183.1205236860915,-40.42710212883709,45.25535844511987
2,2,0.0,-8174.420200587833,-47.702305250137385,56.74769038731064
3,3,0.0,-8196.926817209885,-83.28558599896859,61.09330614938228
4,4,0.0,-8190.5315976874645,-49.706113546446936,34.744832643302665
5,5,0.0,-8205.293413260593,-45.48040875515579,66.81885262221631
6,6,0.0,-8188.610344757582,-55.629420058347435,66.13048029438934
7,7,0.0,-8185.527234580526,-55.09902496431205,47.26003345370985
8,8,0.0,-8149.485000558406,-33.638271449378536,49.9355990205421
9,9,0.0,-8213.157539768716,-92.60983580067406,51.06157161420244
10,10,0.0,-8162.333304555487,-58.54871203981058,58.46627252264096
11,11,0.0,-8226.000735605117,-90.22265126363754,26.99155201687785
12,12,0.0,-8243.152783286587,-77.77984144006892,29.666804479432248
13,13,0.0,-8226.665175709208,-107.18832532822056,55.43932428196004
14,14,0.0,-8257.006100479719,-92.20158648725372,36.18658083032523
15,15,0.0,-8227.104430206628,-94.57315911171827,40.603894361290756
16,16,0.0,-8229.953838397518,-110.11150937121484,36.930599179907176
17,17,0.0,-8255.091470344934,-91.98639804917777,35.917021593083575
18,18,0.0,-8249.607018200168,-93.4538712386332,48.58716768413263
19,19,0.0,-8242.460470937385,-89.2695052510512,51.33233428108016
20,20,0.0,-8234.87894753268,-88.00945774928135,32.92156966584769
21,21,0.0,-8222.252446808861,-86.83764770840227,52.895508411905574
22,22,0.0,-8233.863375348035,-84.60806652459586,34.30425453083458
23,23,0.0,-8261.86804122312,-96.2134733526149,39.23296754164593
24,24,0.0,-8245.047279923698,-93.01232754125955,28.460493808795363
25,25,0.0,-8253.169400142053,-96.51691095853272,33.01742720611496
26,26,0.0,-8245.397518882899,-69.72473574070564,58.46951208968905
27,27,0.0,-8237.187978959366,-125.63363889354281,63.880015096620156
28,28,0.0,-8244.939778828444,-78.14466619904837,30.971304749613648
29,29,0.0,-8242.176620515365,-83.17094695613841,34.40003400352081
30,30,0.0,-8175.800929332126,-29.96002839430993,61.47210919461249
31,31,0.0,-8169.61899197778,-34.53512731148057,83.73128477715778
32,32,0.0,-8169.6022615800475,-35.23291358904467,54.01967145666497
33,33,0.0,-8200.584481569724,-19.60609407025984,62.56128398451509
34,34,0.0,-8170.040938279394,-17.380763874979202,83.10949468435777
35,35,0.0,-8179.544902678141,-11.685137299390972,70.36708935164869
36,36,0.0,-8197.991031723897,-8.441532103652326,64.11582918300329
37,37,0.0,-8175.680185127604,-12.944050395377651,71.49395568870204
38,38,0.0,-8189.908201414941,-23.58270631248614,68.79303624461528
39,39,0.0,-8201.674154078426,-24.872819661827407,65.29262797743601
40,40,0.0,-8196.246075323825,-30.75173484136576,70.92652244254394
41,41,0.0,-8228.298415144605,-21.590419766641496,58.02261679379491
42,42,0.0,-8167.808893698056,-32.36302934440085,81.03990839595069
43,43,0.0,-8203.932076879559,-15.092196599190238,54.73658281448502
44,44,0.0,-8156.260857148706,-22.13803664726659,79.58887835159284
45,45,0.0,-8168.6254422290785,-22.12971319202365,71.68056175022394
46,46,0.0,-8195.657883589794,-20.984832036304844,69.68325897313943
47,47,0.0,-8168.345620865991,-19.314272283712175,75.22551898756268
48,48,0.0,-8169.403627686411,-25.174428603797907,80.83405996792311
49,49,0.0,-8148.887539208729,-27.854700357534703,90.15977677897118
50,50,0.0,-8157.839862608669,-25.12093363110095,76.64234363347646
51,51,0.0,-8172.840837452518,-33.85021063256577,65.78024692895418
52,52,0.0,-8164.628867415548,-15.17417527812126,73.58335234575813
53,53,0.0,-8155.2563111255495,-25.23475485692293,72.5852464442673
54,54,0.0,-8180.033854080922,-13.686782676672614,68.99269468271356
55,55,0.0,-8151.457748666032,-24.832168471032013,75.37869134720582
56,56,0.0,-8186.17713197218,-0.026300332358928813,59.13765834725731
57,57,0.0,-8144.464644511087,-20.392986436799355,63.656114204446595
58,58,0.0,-8159.3106659937475,-28.299673762638108,68.91878436326525
59,59,0.0,-8182.359906040446,-34.36902346192924,70.49324755232273
60,60,0.0,-8167.205207280414,-24.1015016521855,72.27603417980579
61,61,0.0,-8160.764919805904,-22.17591872505742,85.08845899200283
62,62,0.0,-8172.559935977855,-16.455266163216148,68.95438315605884
63,63,0.0,-8152.786073126443,-22.09578488478959,75.55696108984941
64,64,0.0,-8157.43156632231,-21.497456457137922,74.49490777236716
65,65,0.0,-8168.0379659095925,-19.121341568243984,84.47296412599691
66,66,0.0,-8162.958442582676,-19.22213863200985,81.93045191662299
67,0,0.1,-8177.850761948917,-97.99219924125237,87.23749057146028
68,1,0.1,-8183.745895990004,-62.185894648443146,45.04117463603985
69,2,0.1,-8174.846842778825,-69.46769738994126,56.52532165341093
70,3,0.1,-8197.469958447173,-105.06650080033319,60.68065044391602
71,4,0.1,-8191.224759726519,-71.31639108617372,34.53463089385135
72,5,0.1,-8206.021540060372,-67.2902438603109,66.47572052077298
73,6,0.1,-8189.211681104329,-77.23051243570164,65.77953085022476
74,7,0.1,-8186.2854872546195,-76.65858959522006,47.11347564374884
75,8,0.1,-8150.505563026711,-55.36667007502263,49.96325501047931
76,9,0.1,-8213.666891606716,-114.20861373949595,50.94729817698865
77,10,0.1,-8163.0671925016295,-80.14673760635876,58.10861034559826
78,11,0.1,-8226.441054876253,-111.82063962519796,27.02637161926322
79,12,0.1,-8243.445492247301,-99.53307413712855,29.4972588113436
80,13,0.1,-8227.014088945753,-128.6972100865579,55.137986376098205
81,14,0.1,-8257.12830606782,-113.88822376373695,36.24549265661956
82,15,0.1,-8227.556581807334,-116.26429754248412,40.37712676834338
83,16,0.1,-8230.308740789995,-131.61337217680804,36.59466514828964
84,17,0.1,-8255.298757564544,-113.67499364851753,35.864518598391626
85,18,0.1,-8249.86840170248,-114.97534656629973,48.441802148966474
86,19,0.1,-8242.779306905339,-110.8566336986952,51.189180345077034
87,20,0.1,-8235.29999062565,-109.64684469613007,32.887785570169854
88,21,0.1,-8222.809422817036,-108.40294583762535,52.71550691230001
89,22,0.1,-8234.244661513118,-106.38244881683957,34.27961844114269
90,23,0.1,-8262.100348361297,-117.65559786366802,39.13130403924854
91,24,0.1,-8245.134421104114,-114.65595494746866,28.417017585485908
92,25,0.1,-8253.470144506215,-117.99525873398184,33.01240640153241
93,26,0.1,-8245.730013506942,-91.35373907414869,58.20416287124654
94,27,0.1,-8237.45171093389,-146.9755132770762,63.580486113386925
95,28,0.1,-8245.232819331315,-99.79322665645127,30.97831199096722
96,29,0.1,-8242.453726413296,-104.67926475095486,34.27189472063483
97,30,0.1,-8176.4243278352305,-51.98844269977554,61.43008757580387
98,31,0.1,-8170.180000608576,-56.410409896266486,83.62971523815203
99,32,0.1,-8170.191948093881,-57.02860905947316,53.63915587628052
100,33,0.1,-8201.005480345082,-41.40479270550611,62.42272322817657
101,34,0.1,-8170.610751504167,-39.4945971371221,83.07598159025596
102,35,0.1,-8180.4500081689075,-33.5373163613313,70.12055719962594
103,36,0.1,-8198.635048457358,-30.312524947276746,63.829600937417716
104,37,0.1,-8176.187029424731,-34.90267543058661,71.36478373518587
105,38,0.1,-8190.601597572787,-45.450068403203,68.3845034191217
106,39,0.1,-8202.031419699288,-46.68678133350954,65.17825027861097
107,40,0.1,-8196.760150741797,-52.84997157115394,70.74830325289648
108,41,0.1,-8228.635432956442,-43.34747309201266,57.767031889914
109,42,0.1,-8168.439465129428,-54.26584416383436,80.96758277558348
110,43,0.1,-8204.661604683964,-37.016926196819185,54.56081892413054
111,44,0.1,-8157.232539515756,-44.218061986247065,79.49646448240712
112,45,0.1,-8169.255551928891,-44.30442802860509,71.54648619323021
113,46,0.1,-8196.35562426216,-43.23356329782451,69.53469229087585
114,47,0.1,-8169.090349251371,-41.28728451459528,74.77089120654101
115,48,0.1,-8169.938695526603,-47.21713963585977,80.79515385989443
116,49,0.1,-8149.610351092761,-49.842167891994535,90.08598388102993
117,50,0.1,-8158.409212566225,-47.14103258346191,76.66001065130226
118,51,0.1,-8173.791649710112,-55.711203261351685,65.47821353191286
119,52,0.1,-8165.3150929652475,-37.43958980559812,73.31938270255509
120,53,0.1,-8156.273353840149,-47.177582203747775,72.32900585355857
121,54,0.1,-8180.774333532105,-35.80873352477071,68.8640977743994
122,55,0.1,-8152.138319361424,-46.89533629448376,75.14159786032702
123,56,0.1,-8186.814940753406,-21.962177542452384,58.77434359645895
124,57,0.1,-8145.062709894399,-42.440870777634295,63.576808083587125
125,58,0.1,-8159.890846869872,-50.32419296026399,68.57797130754216
126,59,0.1,-8182.704082848965,-56.24885656886301,70.18081105464543
127,60,0.1,-8167.867374515493,-46.027252738712036,72.27219327643904
128,61,0.1,-8161.611573691417,-44.2302116885061,85.08368456164493
129,62,0.1,-8173.294285781646,-38.59384790437776,68.86818950786382
130,63,0.1,-8153.367011317623,-44.11490042924737,75.3497483335901
131,64,0.1,-8158.081929224266,-43.37650738494168,74.09811805492079
132,65,0.1,-8168.6220465286715,-41.09518281689278,84.23239276816142
133,66,0.1,-8163.429827428761,-41.36916308587405,81.79122714092665
134,0,0.2,-8178.480555866621,-119.79639506574668,86.99243656257445
135,1,0.2,-8184.371268293917,-83.94468716804919,44.82699082695983
136,2,0.2,-8175.273484969817,-91.23308952974516,56.30295291951123
137,3,0.2,-8198.013099684458,-126.8474156016978,60.26799473844977
138,4,0.2,-8191.917921765574,-92.9266686259005,34.324429144400035
139,5,0.2,-8206.749666860153,-89.100078965466,66.13258841932964
140,6,0.2,-8189.813017451075,-98.83160481305586,65.42858140606016
141,7,0.2,-8187.043739928712,-98.21815422612808,46.96691783378782
142,8,0.2,-8151.526125495015,-77.09506870066673,49.99091100041652
143,9,0.2,-8214.176243444716,-135.80739167831786,50.83302473977488
144,10,0.2,-8163.801080447772,-101.74476317290694,57.75094816855556
145,11,0.2,-8226.88137414739,-133.41862798675837,27.061191221648585
146,12,0.2,-8243.738201208014,-121.2863068341882,29.327713143254947
147,13,0.2,-8227.363002182296,-150.20609484489526,54.836648470236355
148,14,0.2,-8257.25051165592,-135.57486104022018,36.304404482913895
149,15,0.2,-8228.008733408042,-137.95543597324996,40.150359175396
150,16,0.2,-8230.66364318247,-153.11523498240126,36.258731116672095
151,17,0.2,-8255.506044784153,-135.36358924785728,35.81201560369968
152,18,0.2,-8250.129785204796,-136.49682189396628,48.296436613800324
153,19,0.2,-8243.09814287329,-132.4437621463392,51.04602640907391
154,20,0.2,-8235.721033718619,-131.28423164297882,32.854001474492016
155,21,0.2,-8223.36639882521,-129.96824396684843,52.53550541269444
156,22,0.2,-8234.625947678202,-128.15683110908327,34.254982351450806
157,23,0.2,-8262.332655499473,-139.09772237472114,39.02964053685115
158,24,0.2,-8245.221562284532,-136.29958235367778,28.373541362176447
159,25,0.2,-8253.770888870376,-139.47360650943097,33.00738559694987
160,26,0.2,-8246.062508130984,-112.98274240759172,57.938813652804036
161,27,0.2,-8237.715442908413,-168.31738766060963,63.280957130153695
162,28,0.2,-8245.525859834188,-121.44178711385415,30.985319232320794
163,29,0.2,-8242.730832311225,-126.18758254577129,34.143755437748844
164,30,0.2,-8177.047726338336,-74.01685700524114,61.38806595699525
165,31,0.2,-8170.741009239372,-78.2856924810524,83.52814569914626
166,32,0.2,-8170.781634607716,-78.82430452990165,53.25864029589606
167,33,0.2,-8201.426479120442,-63.20349134075238,62.28416247183805
168,34,0.2,-8171.18056472894,-61.608430399264996,83.04246849615417
169,35,0.2,-8181.355113659673,-55.389495423271626,69.87402504760317
170,36,0.2,-8199.279065190818,-52.18351779090116,63.54337269183215
171,37,0.2,-8176.693873721857,-56.861300465795566,71.2356117816697
172,38,0.2,-8191.294993730634,-67.31743049391986,67.9759705936281
173,39,0.2,-8202.388685320147,-68.50074300519168,65.06387257978594
174,40,0.2,-8197.27422615977,-74.94820830094211,70.57008406324901
175,41,0.2,-8228.97245076828,-65.10452641738384,57.51144698603308
176,42,0.2,-8169.070036560799,-76.16865898326786,80.89525715521626
177,43,0.2,-8205.391132488368,-58.94165579444813,54.38505503377604
