,Id,t (Myr),x (pc),y (pc),z (pc)
0,0,0.0,-8251.508648161669,-92.80922429446262,33.288504890512364
1,1,0.0,-8250.977112603954,-93.82624976124777,33.355740747442866
2,2,0.0,-8224.586990807158,-95.58493145289849,62.50644457774084
3,3,0.0,-8278.793637216368,-44.28643505927575,47.289158880907536
4,4,0.0,-8290.608588964185,-52.4424773988582,29.946328508618297
5,5,0.0,-8234.295380946078,-82.10507579244843,61.27757979475571
6,6,0.0,-8290.347838757218,-86.24259461930988,46.202766903804026
7,7,0.0,-8276.72566026918,-65.99093831440217,57.64826138948253
8,8,0.0,-8301.242212408692,-61.3947345240829,50.20004925136979
9,9,0.0,-8287.89021852995,-53.233914350194325,51.8540940754591
10,10,0.0,-8287.911104456336,-53.14720444604028,51.81441940467581
11,11,0.0,-8284.819627849265,-59.33533952546089,50.22449627521775
12,0,0.1,-8252.063179229517,-114.07146282775875,33.13866999039788
13,1,0.1,-8251.029207603839,-115.73750175036123,33.40143168462263
14,2,0.1,-8225.392358499415,-116.6330615597195,62.147712405908614
15,3,0.1,-8278.617519021289,-66.49120160024171,47.29896234597017
16,4,0.1,-8290.6222405606,-74.04497491452662,29.8160915803952
17,5,0.1,-8235.037877695067,-103.97802735602194,60.78473696683836
18,6,0.1,-8290.140941904421,-107.89759285801499,46.16295766021462
19,7,0.1,-8276.709155341343,-87.8494443973614,57.57109968858995
20,8,0.1,-8301.224980542853,-83.39788830919113,50.42665155496107
21,9,0.1,-8287.69367961773,-75.25999350458402,51.80011859446568
22,10,0.1,-8287.738461758367,-75.12985102296382,51.77524434263793
23,11,0.1,-8284.69007781936,-81.19895046408674,50.14671895588641
24,0,0.2,-8252.617710297367,-135.33370136105486,32.988835090283395
25,1,0.2,-8251.081302603723,-137.6487537394747,33.44712262180239
26,2,0.2,-8226.197726191673,-137.68119166654049,61.7889802340764
27,3,0.2,-8278.44140082621,-88.69596814120766,47.3087658110328
28,4,0.2,-8290.635892157014,-95.64747243019504,29.685854652172104
29,5,0.2,-8235.780374444057,-125.85097891959546,60.291894138921016
30,6,0.2,-8289.934045051623,-129.55259109672008,46.12314841662523
31,7,0.2,-8276.692650413508,-109.7079504803206,57.49393798769738
32,8,0.2,-8301.207748677012,-105.40104209429937,50.65325385855233
33,9,0.2,-8287.49714070551,-97.28607265897371,51.746143113472264
34,10,0.2,-8287.565819060397,-97.11249759988736,51.73606928060005
35,11,0.2,-8284.560527789452,-103.06256140271259,50.068941636555074
36,0,0.3,-8253.172241365215,-156.59593989435098,32.83900019016891
37,1,0.3,-8251.133397603608,-159.56000572858818,33.49281355898216
38,2,0.3,-8227.003093883928,-158.72932177336145,61.430248062244175
39,3,0.3,-8278.265282631131,-110.90073468217362,47.31856927609543
40,4,0.3,-8290.649543753429,-117.24996994586344,29.555617723949005
41,5,0.3,-8236.522871193045,-147.723930483169,59.79905131100366
42,6,0.3,-8289.727148198826,-151.20758933542515,46.08333917303584
43,7,0.3,-8276.676145485671,-131.56645656327984,57.416776286804804
44,8,0.3,-8301.190516811173,-127.40419587940761,50.87985616214361
45,9,0.3,-8287.300601793291,-119.3121518133634,51.69216763247884
46,10,0.3,-8287.393176362426,-119.09514417681089,51.69689421856217
47,11,0.3,-8284.430977759544,-124.92617234133846,49.991164317223735
48,0,0.4,-8253.726772433065,-177.85817842764715,32.68916529005442
49,1,0.4,-8251.18549260349,-181.47125771770163,33.53850449616193
50,2,0.4,-8227.808461576185,-179.77745188018247,61.07151589041195
51,3,0.4,-8278.089164436054,-133.10550122313958,47.32837274115807
52,4,0.4,-8290.663195349844,-138.8524674615319,29.425380795725914
53,5,0.4,-8237.265367942035,-169.59688204674248,59.30620848308631
54,6,0.4,-8289.52025134603,-172.8625875741303,46.043529929446436
55,7,0.4,-8276.659640557837,-153.4249626462391,57.33961458591222
56,8,0.4,-8301.173284945335,-149.40734966451583,51.10645846573488
57,9,0.4,-8287.104062881072,-141.33823096775308,51.638192151485434
58,10,0.4,-8287.220533664457,-141.07779075373443,51.65771915652429
59,11,0.4,-8284.301427729639,-146.7897832799643,49.913386997892395
60,0,0.5,-8254.281303500915,-199.12041696094323,32.53933038993994
61,1,0.5,-8251.237587603377,-203.3825097068151,33.58419543334169
62,2,0.5,-8228.613829268443,-200.82558198700346,60.71278371857973
63,3,0.5,-8277.913046240976,-155.3102677641055,47.338176206220695
64,4,0.5,-8290.676846946259,-160.4549649772003,29.295143867502816
65,5,0.5,-8238.007864691024,-191.469833610316,58.813365655168965
66,6,0.5,-8289.313354493232,-194.5175858128354,46.00372068585704
67,7,0.5,-8276.64313563,-175.28346872919826,57.262452885019655
68,8,0.5,-8301.156053079496,-171.4105034496241,51.33306076932616
69,9,0.5,-8286.907523968852,-163.3643101221428,51.58421667049201
70,10,0.5,-8287.047890966487,-163.06043733065798,51.61854409448641
71,11,0.5,-8284.171877699731,-168.65339421859017,49.835609678561056
72,0,0.6,-8254.835834568763,-220.38265549423937,32.38949548982545
73,1,0.6,-8251.28968260326,-225.29376169592857,33.629886370521454
74,2,0.6,-8229.419196960698,-221.87371209382445,60.35405154674751
75,3,0.6,-8277.736928045897,-177.51503430507145,47.347979671283326
76,4,0.6,-8290.690498542674,-182.0574624928687,29.164906939279717
77,5,0.6,-8238.750361440014,-213.34278517388952,58.320522827251615
78,6,0.6,-8289.106457640435,-216.1725840515405,45.96391144226764
79,7,0.6,-8276.626630702163,-197.1419748121575,57.18529118412708
80,8,0.6,-8301.138821213657,-193.41365723473234,51.55966307291743
81,9,0.6,-8286.710985056632,-185.39038927653246,51.5302411894986
82,10,0.6,-8286.875248268516,-185.04308390758152,51.579369032448525
83,11,0.6,-8284.042327669826,-190.51700515721603,49.75783235922972
84,0,0.7,-8255.390365636611,-241.64489402753546,32.239660589710965
85,1,0.7,-8251.341777603144,-247.20501368504208,33.67557730770122
86,2,0.7,-8230.224564652955,-242.92184220064547,59.99531937491529
87,3,0.7,-8277.560809850818,-199.71980084603746,47.357783136345965
88,4,0.7,-8290.704150139089,-203.65996000853713,29.034670011056622
89,5,0.7,-8239.492858189004,-235.21573673746303,57.82767999933427
90,6,0.7,-8288.899560787639,-237.82758229024557,45.92410219867825
91,7,0.7,-8276.610125774328,-219.00048089511674,57.10812948323451
92,8,0.7,-8301.121589347818,-215.41681101984054,51.7862653765087
93,9,0.7,-8286.514446144412,-207.41646843092218,51.476265708505174
94,10,0.7,-8286.702605570546,-207.02573048450503,51.54019397041065
95,11,0.7,-8283.91277763992,-212.38061609584187,49.68005503989838
96,0,0.8,-8255.944896704461,-262.9071325608316,32.08982568959648
97,1,0.8,-8251.39387260303,-269.11626567415556,33.72126824488099
98,2,0.8,-8231.029932345213,-263.96997230746643,59.63658720308307
99,3,0.8,-8277.38469165574,-221.9245673870034,47.36758660140859
100,4,0.8,-8290.717801735502,-225.26245752420556,28.904433082833524
101,5,0.8,-8240.235354937991,-257.08868830103654,57.33483717141692
102,6,0.8,-8288.69266393484,-259.4825805289507,45.88429295508885
103,7,0.8,-8276.593620846494,-240.85898697807596,57.030967782341925
104,8,0.8,-8301.10435748198,-237.4199648049488,52.01286768009998
105,9,0.8,-8286.317907232193,-229.44254758531184,51.42229022751176
106,10,0.8,-8286.529962872577,-229.00837706142858,51.501018908372764
107,11,0.8,-8283.783227610013,-234.24422703446774,49.60227772056704
108,0,0.9,-8256.499427772309,-284.1693710941277,31.939990789481996
109,1,0.9,-8251.445967602913,-291.027517663269,33.76695918206075
110,2,0.9,-8231.835300037468,-285.01810241428745,59.277855031250844
111,3,0.9,-8277.208573460663,-244.12933392796936,47.37739006647123
112,4,0.9,-8290.731453331917,-246.86495503987396,28.774196154610426
113,5,0.9,-8240.977851686981,-278.9616398646101,56.84199434349957
114,6,0.9,-8288.485767082044,-281.1375787676557,45.84448371149945
115,7,0.9,-8276.577115918657,-262.7174930610352,56.95380608144935
116,8,0.9,-8301.087125616139,-259.423118590057,52.23946998369126
117,9,0.9,-8286.121368319973,-251.46862673970156,51.36831474651834
118,10,0.9,-8286.357320174606,-250.99102363835215,51.461843846334894
119,11,0.9,-8283.653677580107,-256.1078379730936,49.5245004012357
120,0,1.0,-8257.053958840159,-305.4316096274239,31.79015588936751
121,1,1.0,-8251.498062602797,-312.93876965238246,33.812650119240516
122,2,1.0,-8232.640667729725,-306.0662325211085,58.919122859418636
123,3,1.0,-8277.032455265584,-266.3341004689353,47.38719353153385
124,4,1.0,-8290.745104928332,-268.46745255554237,28.64395922638733
125,5,1.0,-8241.72034843597,-300.8345914281836,56.34915151558222
126,6,1.0,-8288.278870229247,-302.7925770063609,45.804674467910054
127,7,1.0,-8276.560610990822,-284.5759991439944,56.876644380556776
128,8,1.0,-8301.0698937503,-281.42627237516524,52.46607228728252
129,9,1.0,-8285.924829407753,-273.4947058940912,51.31433926552493
130,10,1.0,-8286.184677476636,-272.97367021527566,51.42266878429702
131,11,1.0,-8283.5241275502,-277.97144891171945,49.44672308190436
132,0,1.1,-8257.608489908007,-326.69384816071994,31.640320989253023
133,1,1.1,-8251.550157602682,-334.8500216414959,33.85834105642029
134,2,1.1,-8233.446035421981,-327.11436262792944,58.56039068758641
135,3,1.1,-8276.856337070505,-288.53886700990125,47.396996996596485
136,4,1.1,-8290.758756524747,-290.0699500712108,28.513722298164232
137,5,1.1,-8242.462845184958,-322.7075429917571,55.85630868766488
138,6,1.1,-8288.07197337645,-324.447575245066,45.76486522432065
139,7,1.1,-8276.544106062986,-306.4345052269536,56.799482679664195
140,8,1.1,-8301.052661884461,-303.42942616027347,52.6926745908738
141,9,1.1,-8285.728290495534,-295.52078504848095,51.26036378453151
142,10,1.1,-8286.012034778667,-294.95631679219923,51.38349372225913
143,11,1.1,-8283.394577520292,-299.83505985034526,49.36894576257303
144,0,1.2,-8258.163020975857,-347.9560866940161,31.490486089138543
145,1,1.2,-8251.602252602566,-356.76127363060937,33.90403199360005
146,2,1.2,-8234.251403114238,-348.1624927347504,58.20165851575419
147,3,1.2,-8276.680218875426,-310.7436335508672,47.406800461659124
148,4,1.2,-8290.77240812116,-311.67244758687923,28.38348536994114
149,5,1.2,-8243.205341933948,-344.5804945553306,55.36346585974753
150,6,1.2,-8287.865076523654,-346.1025734837711,45.72505598073126
151,7,1.2,-8276.52760113515,-328.29301130991286,56.72232097877162
152,8,1.2,-8301.03543001862,-325.43257994538175,52.91927689446507
153,9,1.2,-8285.531751583316,-317.5468642028706,51.20638830353809
154,10,1.2,-8285.839392080698,-316.9389633691228,51.344318660221255
155,11,1.2,-8283.265027490386,-321.6986707889712,49.29116844324169
156,0,1.3,-8258.717552043705,-369.2183252273122,31.340651189024054
157,1,1.3,-8251.65434760245,-378.6725256197229,33.949722930779814
158,2,1.3,-8235.056770806495,-369.2106228415715,57.84292634392197
159,3,1.3,-8276.504100680348,-332.94840009183315,47.41660392672175
160,4,1.3,-8290.786059717575,-333.27494510254763,28.253248441718043
161,5,1.3,-8243.947838682938,-366.4534461189042,54.87062303183017
162,6,1.3,-8287.658179670856,-367.75757172247614,45.68524673714186
163,7,1.3,-8276.511096207314,-350.1515173928721,56.64515927787905
164,8,1.3,-8301.018198152782,-347.43573373048997,53.14587919805635
165,9,1.3,-8285.335212671096,-339.5729433572603,51.152412822544676
166,10,1.3,-8285.666749382728,-338.9216099460463,51.30514359818337
167,11,1.3,-8283.13547746048,-343.562281727597,49.21339112391034
168,0,1.4,-8259.272083111555,-390.48056376060833,31.19081628890957
169,1,1.4,-8251.706442602335,-400.58377760883633,33.99541386795958
170,2,1.4,-8235.862138498753,-390.2587529483924,57.48419417208975
171,3,1.4,-8276.32798248527,-355.1531666327991,47.42640739178439
172,4,1.4,-8290.79971131399,-354.8774426182161,28.123011513494944
173,5,1.4,-8244.690335431926,-388.32639768247765,54.37778020391283
174,6,1.4,-8287.45128281806,-389.4125699611813,45.645437493552464
175,7,1.4,-8276.49459127948,-372.01002347583136,56.56799757698648
176,8,1.4,-8301.000966286943,-369.4388875155982,53.37248150164762
177,9,1.4,-8285.138673758876,-361.59902251165,51.098437341551254
178,10,1.4,-8285.494106684757,-360.90425652296983,51.26596853614549
179,11,1.4,-8283.005927430573,-365.42589266622286,49.135613804579
180,0,1.5,-8259.826614179403,-411.7428022939045,31.04098138879509
181,1,1.5,-8251.75853760222,-422.4950295979498,34.04110480513934
182,2,1.5,-8236.667506191008,-411.30688305521346,57.12546200025753
183,3,1.5,-8276.15186429019,-377.35793317376505,47.43621085684701
184,4,1.5,-8290.813362910405,-376.47994013388444,27.99277458527185
185,5,1.5,-8245.432832180915,-410.1993492460511,53.88493737599548
186,6,1.5,-8287.244385965263,-411.0675681998864,45.60562824996306
187,7,1.5,-8276.478086351643,-393.8685295587905,56.490835876093904
188,8,1.5,-8300.983734421105,-391.4420413007065,53.59908380523889
189,9,1.5,-8284.942134846657,-383.6251016660397,51.04446186055784
190,10,1.5,-8285.321463986787,-382.8869030998934,51.22679347410761
191,11,1.5,-8282.876377400667,-387.28950360484873,49.05783648524766
192,0,1.6,-8260.381145247251,-433.0050408272006,30.8911464886806
193,1,1.6,-8251.810632602104,-444.40628158706323,34.086795742319104
194,2,1.6,-8237.472873883265,-432.35501316203437,56.766729828425305
195,3,1.6,-8275.975746095111,-399.562699714731,47.446014321909644
196,4,1.6,-8290.827014506818,-398.0824376495529,27.86253765704875
197,5,1.6,-8246.175328929905,-432.0723008096247,53.392094548078134
198,6,1.6,-8287.037489112465,-432.72256643859146,45.56581900637367
199,7,1.6,-8276.461581423806,-415.72703564174975,56.41367417520132
200,8,1.6,-8300.966502555266,-413.4451950858147,53.82568610883017
201,9,1.6,-8284.745595934435,-405.6511808204294,50.99048637956442
202,10,1.6,-8285.148821288816,-404.8695496768169,51.18761841206973
203,11,1.6,-8282.74682737076,-409.1531145434746,48.98005916591632
204,0,1.7,-8260.9356763151,-454.2672793604967,30.741311588566116
205,1,1.7,-8251.862727601989,-466.31753357617674,34.132486679498875
206,2,1.7,-8238.278241575523,-453.40314326885544,56.40799765659308
207,3,1.7,-8275.799627900034,-421.76746625569695,47.45581778697228
208,4,1.7,-8290.840666103233,-419.68493516522136,27.732300728825656
209,5,1.7,-8246.917825678895,-453.9452523731982,52.899251720160784
210,6,1.7,-8286.830592259668,-454.37756467729656,45.52600976278428
211,7,1.7,-8276.445076495971,-437.585541724709,56.33651247430875
212,8,1.7,-8300.949270689427,-435.4483488709229,54.05228841242145
213,9,1.7,-8284.549057022217,-427.67725997481904,50.93651089857101
214,10,1.7,-8284.976178590847,-426.8521962537405,51.14844335003185
215,11,1.7,-8282.617277340853,-431.0167254821004,48.902281846584984
216,0,1.8,-8261.49020738295,-475.52951789379284,30.59147668845163
217,1,1.8,-8251.914822601873,-488.2287855652902,34.17817761667864
218,2,1.8,-8239.08360926778,-474.4512733756764,56.04926548476087
219,3,1.8,-8275.623509704956,-443.97223279666287,47.46562125203491
220,4,1.8,-8290.854317699648,-441.2874326808897,27.602063800602558
221,5,1.8,-8247.660322427884,-475.8182039367718,52.40640889224344
222,6,1.8,-8286.623695406872,-476.03256291600167,45.486200519194874
223,7,1.8,-8276.428571568134,-459.44404780766826,56.25935077341617
224,8,1.8,-8300.932038823586,-457.4515026560312,54.27889071601271
225,9,1.8,-8284.352518109998,-449.70333912920876,50.88253541757759
226,10,1.8,-8284.803535892877,-448.83484283066406,51.10926828799397
227,11,1.8,-8282.487727310947,-452.88033642072634,48.82450452725365
228,0,1.9,-8262.044738450799,-496.791756427089,30.441641788337144
229,1,1.9,-8251.966917601758,-510.1400375544037,34.2238685538584
230,2,1.9,-8239.888976960036,-495.4994034824975,55.69053331292865
231,3,1.9,-8275.447391509877,-466.1769993376289,47.475424717097546
232,4,1.9,-8290.867969296063,-462.88993019655817,27.47182687237946
233,5,1.9,-8248.402819176874,-497.69115550034525,51.91356606432609
234,6,1.9,-8286.416798554073,-497.6875611547068,45.44639127560548
235,7,1.9,-8276.4120666403,-481.3025538906275,56.18218907252359
236,8,1.9,-8300.914806957748,-479.4546564411394,54.50549301960399
237,9,1.9,-8284.155979197778,-471.7294182835985,50.82855993658417
238,10,1.9,-8284.630893194908,-470.8174894075876,51.070093225956086
239,11,1.9,-8282.358177281041,-474.74394735935215,48.74672720792231
240,0,2.0,-8262.599269518647,-518.0539949603851,30.29180688822266
241,1,2.0,-8252.019012601642,-532.0512895435171,34.269559491038166
242,2,2.0,-8240.694344652293,-516.5475335893184,55.33180114109643
243,3,2.0,-8275.271273314798,-488.3817658785948,47.48522818216018
244,4,2.0,-8290.881620892478,-484.4924277122266,27.341589944156368
245,5,2.0,-8249.145315925862,-519.5641070639188,51.42072323640874
246,6,2.0,-8286.209901701277,-519.3425593934119,45.40658203201608
247,7,2.0,-8276.395561712463,-503.1610599735866,56.10502737163102
248,8,2.0,-8300.897575091909,-501.4578102262476,54.73209532319526
249,9,2.0,-8283.959440285558,-493.75549743798814,50.774584455590755
250,10,2.0,-8284.458250496937,-492.8001359845111,51.03091816391821
251,11,2.0,-8282.228627251134,-496.607558297978,48.66894988859097
252,0,2.1,-8263.153800586497,-539.3162334936811,30.141971988108175
253,1,2.1,-8252.071107601527,-553.9625415326307,34.31525042821793
254,2,2.1,-8241.499712344548,-537.5956636961395,54.973068969264204
255,3,2.1,-8275.09515511972,-510.5865324195608,47.49503164722281
256,4,2.1,-8290.895272488893,-506.094925227895,27.21135301593327
257,5,2.1,-8249.887812674851,-541.4370586274923,50.92788040849139
258,6,2.1,-8286.00300484848,-540.9975576321169,45.36677278842669
259,7,2.1,-8276.379056784626,-525.0195660565458,56.02786567073845
260,8,2.1,-8300.88034322607,-523.4609640113559,54.95869762678654
261,9,2.1,-8283.762901373339,-515.7815765923777,50.72060897459733
262,10,2.1,-8284.285607798967,-514.7827825614347,50.991743101880324
263,11,2.1,-8282.099077221228,-518.4711692366039,48.591172569259626
264,0,2.2,-8263.708331654345,-560.5784720269774,29.99213708799369
265,1,2.2,-8252.123202601411,-575.8737935217441,34.36094136539769
266,2,2.2,-8242.305080036806,-558.6437938029604,54.61433679743199
267,3,2.2,-8274.919036924643,-532.7912989605267,47.50483511228544
268,4,2.2,-8290.908924085306,-527.6974227435634,27.08111608771017
269,5,2.2,-8250.630309423841,-563.3100101910658,50.43503758057405
270,6,2.2,-8285.796107995684,-562.6525558708221,45.32696354483729
271,7,2.2,-8276.362551856791,-546.8780721395051,55.950703969845875
272,8,2.2,-8300.863111360231,-545.4641177964642,55.18529993037781
273,9,2.2,-8283.566362461119,-537.8076557467675,50.66663349360392
274,10,2.2,-8284.112965100998,-536.7654291383582,50.95256803984245
275,11,2.2,-8281.96952719132,-540.3347801752298,48.51339524992829
276,0,2.3,-8264.262862722195,-581.8407105602735,29.842302187879202
277,1,2.3,-8252.175297601294,-597.7850455108576,34.406632302577464
278,2,2.3,-8243.110447729061,-579.6919239097815,54.255604625599766
279,3,2.3,-8274.742918729564,-554.9960655014927,47.514638577348066
280,4,2.3,-8290.922575681721,-549.2999202592318,26.950879159487076
281,5,2.3,-8251.372806172829,-585.1829617546392,49.9421947526567
282,6,2.3,-8285.589211142886,-584.3075541095271,45.28715430124789
283,7,2.3,-8276.346046928955,-568.7365782224643,55.873542268953294
284,8,2.3,-8300.845879494393,-567.4672715815724,55.41190223396908
285,9,2.3,-8283.3698235489,-559.8337349011572,50.6126580126105
286,10,2.3,-8283.940322403028,-558.7480757152817,50.91339297780456
287,11,2.3,-8281.839977161413,-562.1983911138556,48.43561793059695
288,0,2.4,-8264.817393790045,-603.1029490935696,29.69246728776472
289,1,2.4,-8252.22739260118,-619.696297499971,34.45232323975723
290,2,2.4,-8243.915815421318,-600.7400540166024,53.89687245376754
291,3,2.4,-8274.566800534485,-577.2008320424586,47.524442042410705
292,4,2.4,-8290.936227278136,-570.9024177749002,26.820642231263978
293,5,2.4,-8252.115302921819,-607.0559133182128,49.44935192473934
294,6,2.4,-8285.38231429009,-605.9625523482322,45.24734505765849
295,7,2.4,-8276.32954200112,-590.5950843054236,55.79638056806072
296,8,2.4,-8300.828647628554,-589.4704253666806,55.63850453756036
297,9,2.4,-8283.17328463668,-581.8598140555468,50.55868253161709
298,10,2.4,-8283.767679705057,-580.7307222922053,50.874217915766685
299,11,2.4,-8281.710427131507,-584.0620020524815,48.35784061126561
300,0,2.5,-8265.371924857893,-624.3651876268657,29.542632387650237
301,1,2.5,-8252.279487601065,-641.6075494890845,34.49801417693699
302,2,2.5,-8244.721183113576,-621.7881841234233,53.53814028193532
303,3,2.5,-8274.390682339406,-599.4055985834246,47.53424550747334
304,4,2.5,-8290.949878874551,-592.5049152905688,26.690405303040883
305,5,2.5,-8252.857799670808,-628.9288648817864,48.956509096821996
306,6,2.5,-8285.175417437293,-627.6175505869373,45.2075358140691
307,7,2.5,-8276.313037073283,-612.4535903883827,55.719218867168145
308,8,2.5,-8300.811415762713,-611.473579151789,55.86510684115163
309,9,2.5,-8282.976745724462,-603.8858932099365,50.504707050623665
310,10,2.5,-8283.595037007088,-602.7133688691288,50.8350428537288
311,11,2.5,-8281.5808771016,-605.9256129911074,48.280063291934276
312,0,2.6,-8265.92645592574,-645.6274261601617,29.39279748753575
313,1,2.6,-8252.331582600948,-663.518801478198,34.54370511411676
314,2,2.6,-8245.526550805833,-642.8363142302444,53.179408110103104
315,3,2.6,-8274.214564144328,-621.6103651243906,47.54404897253597
316,4,2.6,-8290.963530470966,-614.1074128062371,26.560168374817785
317,5,2.6,-8253.600296419796,-650.8018164453599,48.463666268904646
318,6,2.6,-8284.968520584494,-649.2725488256424,45.1677265704797
319,7,2.6,-8276.296532145449,-634.312096471342,55.64205716627557
320,8,2.6,-8300.794183896875,-633.4767329368971,56.0917091447429
321,9,2.6,-8282.780206812242,-625.9119723643263,50.45073156963025
322,10,2.6,-8283.422394309118,-624.6960154460523,50.79586779169093
323,11,2.6,-8281.451327071694,-627.7892239297331,48.20228597260294
324,0,2.7,-8266.48098699359,-666.8896646934579,29.242962587421264
325,1,2.7,-8252.383677600834,-685.4300534673114,34.589396051296525
326,2,2.7,-8246.331918498088,-663.8844443370654,52.82067593827089
327,3,2.7,-8274.03844594925,-643.8151316653566,47.5538524375986
328,4,2.7,-8290.97718206738,-635.7099103219056,26.42993144659469
329,5,2.7,-8254.342793168786,-672.6747680089334,47.9708234409873
330,6,2.7,-8284.761623731698,-670.9275470643476,45.1279173268903
331,7,2.7,-8276.280027217612,-656.1706025543012,55.56489546538299
332,8,2.7,-8300.776952031036,-655.4798867220053,56.31831144833418
333,9,2.7,-8282.58366790002,-647.938051518716,50.396756088636835
334,10,2.7,-8283.249751611147,-646.6786620229759,50.75669272965305
335,11,2.7,-8281.321777041789,-649.652834868359,48.1245086532716
336,0,2.8,-8267.035518061439,-688.151903226754,29.09312768730678
337,1,2.8,-8252.435772600717,-707.341305456425,34.63508698847629
338,2,2.8,-8247.137286190346,-684.9325744438864,52.461943766438665
339,3,2.8,-8273.862327754172,-666.0198982063225,47.563655902661225
340,4,2.8,-8290.990833663795,-657.312407837574,26.299694518371595
341,5,2.8,-8255.085289917775,-694.5477195725068,47.47798061306995
342,6,2.8,-8284.554726878901,-692.5825453030527,45.0881080833009
343,7,2.8,-8276.263522289777,-678.0291086372605,55.487733764490415
344,8,2.8,-8300.759720165195,-677.4830405071135,56.54491375192545
345,9,2.8,-8282.3871289878,-669.9641306731056,50.34278060764341
346,10,2.8,-8283.077108913178,-668.6613085998994,50.71751766761517
347,11,2.8,-8281.192227011881,-671.5164458069848,48.04673133394026
348,0,2.9,-8267.590049129289,-709.4141417600501,28.943292787192295
349,1,2.9,-8252.487867600601,-729.2525574455383,34.68077792565605
350,2,2.9,-8247.942653882603,-705.9807045507075,52.10321159460645
351,3,2.9,-8273.686209559093,-688.2246647472884,47.57345936772386
352,4,2.9,-8291.00448526021,-678.9149053532424,26.169457590148497
353,5,2.9,-8255.827786666765,-716.4206711360804,46.98513778515261
354,6,2.9,-8284.347830026103,-714.2375435417578,45.048298839711514
355,7,2.9,-8276.24701736194,-699.8876147202197,55.41057206359785
356,8,2.9,-8300.742488299356,-699.4861942922217,56.77151605551673
357,9,2.9,-8282.190590075581,-691.9902098274953,50.288805126650004
358,10,2.9,-8282.904466215208,-690.6439551768229,50.678342605577285
359,11,2.9,-8281.062676981974,-693.3800567456107,47.96895401460891
360,0,3.0,-8268.144580197137,-730.6763802933464,28.793457887077807
361,1,3.0,-8252.539962600486,-751.1638094346519,34.72646886283582
362,2,3.0,-8248.74802157486,-727.0288346575284,51.744479422774226
363,3,3.0,-8273.510091364014,-710.4294312882545,47.583262832786495
364,4,3.0,-8291.018136856625,-700.5174028689108,26.039220661925402
365,5,3.0,-8256.570283415753,-738.293622699654,46.49229495723526
366,6,3.0,-8284.140933173307,-735.8925417804629,45.00848959612211
367,7,3.0,-8276.230512434106,-721.7461208031789,55.33341036270527
368,8,3.0,-8300.725256433518,-721.4893480773301,56.998118359108005
369,9,3.0,-8281.994051163363,-714.016288981885,50.23482964565658
370,10,3.0,-8282.731823517237,-712.6266017537465,50.63916754353941
371,11,3.0,-8280.933126952068,-715.2436676842366,47.89117669527757
372,0,3.1,-8268.699111264987,-751.9386188266425,28.643622986963322
373,1,3.1,-8252.59205760037,-773.0750614237653,34.77215980001559
374,2,3.1,-8249.553389267116,-748.0769647643494,51.385747250942
375,3,3.1,-8273.333973168936,-732.6341978292203,47.59306629784913
376,4,3.1,-8291.03178845304,-722.1199003845792,25.908983733702303
377,5,3.1,-8257.312780164742,-760.1665742632275,45.99945212931791
378,6,3.1,-8283.93403632051,-757.5475400191679,44.968680352532715
