,Id,t (Myr),x (pc),y (pc),z (pc)
0,0,0.0,-8183.1205236860915,-40.42710212883709,45.25535844511987
1,1,0.0,-8174.420200587833,-47.702305250137385,56.74769038731064
2,2,0.0,-8190.5315976874645,-49.706113546446936,34.744832643302665
3,3,0.0,-8205.293413260593,-45.48040875515579,66.81885262221631
4,4,0.0,-8188.610344757582,-55.629420058347435,66.13048029438934
5,5,0.0,-8159.499042712459,-23.337182986517252,12.783108190624382
6,6,0.0,-8185.527234580526,-55.09902496431205,47.26003345370985
7,7,0.0,-8206.784915597987,-91.95975998210865,42.75400647680687
8,8,0.0,-8176.463283094335,-48.04985813734542,41.942580615390455
9,9,0.0,-8149.485000558406,-33.638271449378536,49.9355990205421
10,10,0.0,-8213.157539768716,-92.60983580067406,51.06157161420244
11,11,0.0,-8162.333304555487,-58.54871203981058,58.46627252264096
12,0,0.1,-8183.745895990004,-62.185894648443146,45.04117463603985
13,1,0.1,-8174.846842778825,-69.46769738994126,56.52532165341093
14,2,0.1,-8191.224759726519,-71.31639108617372,34.53463089385135
15,3,0.1,-8206.021540060372,-67.2902438603109,66.47572052077298
16,4,0.1,-8189.211681104329,-77.23051243570164,65.77953085022476
17,5,0.1,-8160.648671704708,-44.98453330016057,12.638955883512928
18,6,0.1,-8186.2854872546195,-76.65858959522006,47.11347564374884
19,7,0.1,-8207.446517079503,-113.28765913253292,42.43913620239275
20,8,0.1,-8176.863564627643,-69.75450609947781,41.663097078938115
21,9,0.1,-8150.505563026711,-55.36667007502263,49.96325501047931
22,10,0.1,-8213.666891606716,-114.20861373949595,50.94729817698865
23,11,0.1,-8163.0671925016295,-80.14673760635876,58.10861034559826
24,0,0.2,-8184.371268293917,-83.94468716804919,44.82699082695983
25,1,0.2,-8175.273484969817,-91.23308952974516,56.30295291951123
26,2,0.2,-8191.917921765574,-92.9266686259005,34.324429144400035
27,3,0.2,-8206.749666860153,-89.100078965466,66.13258841932964
28,4,0.2,-8189.813017451075,-98.83160481305586,65.42858140606016
29,5,0.2,-8161.798300696957,-66.63188361380388,12.494803576401473
30,6,0.2,-8187.043739928712,-98.21815422612808,46.96691783378782
31,7,0.2,-8208.108118561016,-134.61555828295715,42.12426592797864
32,8,0.2,-8177.263846160951,-91.45915406161019,41.383613542485776
33,9,0.2,-8151.526125495015,-77.09506870066673,49.99091100041652
34,10,0.2,-8214.176243444716,-135.80739167831786,50.83302473977488
35,11,0.2,-8163.801080447772,-101.74476317290694,57.75094816855556
36,0,0.3,-8184.996640597829,-105.70347968765525,44.61280701787981
37,1,0.3,-8175.700127160809,-112.99848166954907,56.08058418561152
38,2,0.3,-8192.611083804628,-114.53694616562728,34.11422739494873
39,3,0.3,-8207.47779365993,-110.90991407062113,65.7894563178863
40,4,0.3,-8190.4143537978225,-120.43269719041008,65.07763196189558
41,5,0.3,-8162.947929689207,-88.27923392744721,12.350651269290017
42,6,0.3,-8187.801992602804,-119.77771885703608,46.82036002382681
43,7,0.3,-8208.769720042532,-155.9434574333814,41.80939565356452
44,8,0.3,-8177.66412769426,-113.16380202374259,41.10413000603344
45,9,0.3,-8152.54668796332,-98.82346732631082,50.018566990353726
46,10,0.3,-8214.685595282715,-157.4061696171397,50.718751302561095
47,11,0.3,-8164.534968393915,-123.34278873945512,57.393285991512855
48,0,0.4,-8185.62201290174,-127.46227220726131,44.39862320879979
49,1,0.4,-8176.1267693518,-134.76387380935296,55.85821545171182
50,2,0.4,-8193.304245843683,-136.14722370535407,33.90402564549741
51,3,0.4,-8208.20592045971,-132.71974917577623,65.44632421644297
52,4,0.4,-8191.015690144569,-142.03378956776427,64.72668251773098
53,5,0.4,-8164.097558681456,-109.92658424109052,12.206498962178564
54,6,0.4,-8188.560245276897,-141.3372834879441,46.673802213865784
55,7,0.4,-8209.431321524045,-177.27135658380567,41.49452537915041
56,8,0.4,-8178.064409227569,-134.86844998587497,40.824646469581104
57,9,0.4,-8153.567250431625,-120.55186595195494,50.04622298029093
58,10,0.4,-8215.194947120715,-179.00494755596162,50.604477865347306
59,11,0.4,-8165.268856340057,-144.9408143060033,57.03562381447015
60,0,0.5,-8186.247385205653,-149.22106472686735,44.18443939971978
61,1,0.5,-8176.553411542792,-156.52926594915684,55.63584671781211
62,2,0.5,-8193.997407882738,-157.75750124508085,33.693823896046105
63,3,0.5,-8208.934047259489,-154.52958428093132,65.10319211499963
64,4,0.5,-8191.617026491315,-163.6348819451185,64.3757330735664
65,5,0.5,-8165.2471876737045,-131.57393455473385,12.06234665506711
66,6,0.5,-8189.31849795099,-162.89684811885212,46.527244403904774
67,7,0.5,-8210.09292300556,-198.59925573422996,41.179655104736284
68,8,0.5,-8178.464690760878,-156.5730979480074,40.545162933128765
69,9,0.5,-8154.58781289993,-142.280264577599,50.07387897022813
70,10,0.5,-8215.704298958715,-200.60372549478353,50.49020442813353
71,11,0.5,-8166.002744286199,-166.53883987255148,56.677961637427444
72,0,0.6,-8186.8727575095645,-170.97985724647341,43.97025559063975
73,1,0.6,-8176.980053733783,-178.29465808896072,55.41347798391241
74,2,0.6,-8194.690569921793,-179.36777878480765,33.48362214659479
75,3,0.6,-8209.662174059267,-176.33941938608646,64.7600600135563
76,4,0.6,-8192.21836283806,-185.2359743224727,64.0247836294018
77,5,0.6,-8166.396816665954,-153.22128486837715,11.918194347955655
78,6,0.6,-8190.076750625082,-184.45641274976012,46.38068659394376
79,7,0.6,-8210.754524487074,-219.92715488465421,40.864784830322165
80,8,0.6,-8178.8649722941855,-178.27774591013977,40.265679396676425
