,index,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url
0,1,1.6357214584097997e+18,b'Gaia DR2 6034282128641423616',6.034282128641423e+18,1014432545.0,2015.5,253.05541918219808,0.05492035887149289,-26.919792747423486,0.03206844342137548,7.033204902553258,0.0588629899370835,119.48432922363281,-11.708088824394698,0.10166794321771841,-28.002755532284112,0.052447907850454806,0.3606467545032501,-0.34476035833358765,-0.2819887399673462,-0.3834467828273773,-0.2720744013786316,-0.23643861711025238,-0.7343353033065796,-0.22560526430606842,0.3662194013595581,0.20277352631092072,309.0,309.0,307.0,2.0,10.815028190612793,652.2819213867188,0.0,1.626090032944555e-15,31.0,False,115.89068603515625,1.6832798219597138,0.009256551235293543,0.09966786205768585,35.0,13.0,0.06130656227469444,0.0,36.0,True,301.0,9854622.505905746,2590.5649135765534,3804.0439453125,8.204265594482422,34.0,5984668.085393852,5974.422854405361,1001.71484375,8.408787727355957,35.0,5560015.784648716,6497.332276694091,855.73828125,7.899230003356934,1.1714993715286255,0.0,0.5095577239990234,0.20452213287353516,0.3050355911254883,-38.79739064252447,0.8534958291295538,15.0,6750.0,4.5,0.0,b'NOT_AVAILABLE',354.9073959332954,10.834873539011053,254.89306123462086,-4.3647990454657695,100001.0,6800.0,6228.60009765625,7265.6298828125,,,,,,,200111.0,2.000932216644287,1.752684235572815,2.3848953247070312,7.712499141693115,7.627206802368164,7.797791481018066,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=6034282128641423616',
1,3,1.6357214584097997e+18,b'Gaia DR2 4126469681670065408',4.126469681670065e+18,1461262862.0,2015.5,252.3008736531173,0.04138338478405469,-22.711674818552282,0.025743035033290392,7.118740122293787,0.04055087260743676,175.55084228515625,-6.568576182110776,0.08648354821643621,-22.37790668115531,0.043448463964946844,0.23013900220394135,-0.09527891129255295,-0.5170455574989319,-0.23923319578170776,-0.14063771069049835,-0.21264025568962097,-0.7774493098258972,-0.20981651544570923,0.2503386437892914,0.2129111886024475,333.0,333.0,329.0,4.0,9.284891128540039,621.4562377929688,0.0,1.5681316059165207e-15,31.0,True,217.5647430419922,1.65165476427639,0.006594838268191012,0.08460475504398346,38.0,12.0,0.05861669033765793,0.0,38.0,True,328.0,5763587.070282875,1071.18938674585,5380.54931640625,8.786633491516113,37.0,3422372.17674347,2662.6102310705583,1285.3447265625,9.015569686889648,36.0,3371961.4784512627,3612.649428795037,933.3763427734375,8.44221305847168,1.1788376569747925,0.0,0.5733566284179688,0.22893619537353516,0.3444204330444336,-22.632991164696435,0.6615049064619548,12.0,6750.0,4.5,0.0,b'NOT_AVAILABLE',357.8704074497851,13.966144679917479,253.7130800590939,-0.2675471093457631,100001.0,6733.54931640625,6561.46484375,6946.81982421875,0.6850000023841858,0.45559999346733093,0.980400025844574,0.34630000591278076,0.24289999902248383,0.5019999742507935,200111.0,1.5414416790008545,1.4482486248016357,1.6233552694320679,4.400733470916748,4.364224910736084,4.437242031097412,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=4126469681670065408',
2,6,1.6357214584097997e+18,b'Gaia DR2 6038192786565512064',6.038192786565512e+18,836410172.0,2015.5,246.07748872531477,0.04145124433275597,-28.91326552832154,0.031575205913367835,4.0337787598117565,0.03994851224812391,100.97444152832031,-5.071089331494228,0.09668065166651625,-15.894763503535167,0.08341439235530779,-0.333834171295166,-0.17149683833122253,-0.5254398584365845,0.25593939423561096,-0.11608300358057022,0.28705644607543945,-0.569107174873352,-0.05013549327850342,0.05905866250395775,-0.4305371344089508,177.0,177.0,170.0,7.0,2.996464729309082,224.8184051513672,0.0,0.0,31.0,True,336.51312255859375,1.4681946878696688,0.0077554172969709935,-0.0655205249786377,20.0,9.0,0.07235996425151825,0.0,24.0,False,205.0,812129.8978090372,1899.425542939484,427.5660705566406,10.914301872253418,21.0,309931.80088366213,2953.451042753255,104.9388656616211,11.623222351074219,21.0,727339.3409797021,5139.611466441365,141.5164031982422,10.107577323913574,1.2772232294082642,0.0,1.5156450271606445,0.7089204788208008,0.8067245483398438,-8.831273235346872,11.358499136533185,8.0,6000.0,3.5,0.0,b'NOT_AVAILABLE',349.2609659814657,14.241761676393157,249.0363337233924,-7.198401077594906,100001.0,4448.5,4378.66650390625,4705.662109375,,,,,,,200111.0,2.7066075801849365,2.4188613891601562,2.7936289310455322,2.5846376419067383,2.546718120574951,2.6225571632385254,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=6038192786565512064',
3,7,1.6357214584097997e+18,b'Gaia DR2 6038520956430662144',6.038520956430662e+18,1664902630.0,2015.5,243.02776952323566,0.03659580218546969,-30.174304408615654,0.020928492665480407,7.559196137249974,0.037665913114059646,200.69064331054688,-12.538663018576887,0.09384896910435786,-27.00246336058298,0.06871643144938744,-0.4087282717227936,0.0020242927130311728,-0.4283755123615265,0.1514836847782135,0.005527852103114128,0.17294318974018097,-0.4771963953971863,-0.0534995011985302,0.09132475405931473,-0.2631096839904785,318.0,318.0,315.0,3.0,3.8919389247894287,416.5450439453125,0.0,0.0,31.0,True,249.97808837890625,1.3906655697545776,0.0059855246473666975,-0.06027056276798248,36.0,12.0,0.06468120962381363,0.0,38.0,False,336.0,174972.8001291382,513.877287928876,340.49530029296875,12.580939292907715,37.0,52338.747140293046,623.0486458658789,84.0042724609375,13.554329872131348,37.0,185440.1205967783,1533.0719163874917,120.95983123779297,11.591410636901855,1.3589476346969604,0.0,1.9629192352294922,0.9733905792236328,0.9895286560058594,-2.6632944160899754,2.13403525047536,5.0,4000.0,3.0,0.0,b'NOT_AVAILABLE',346.4214484382634,15.285687337609872,246.61684301042763,-8.898390914750332,100001.0,3929.572509765625,3728.333251953125,4327.06005859375,,,,,,,200111.0,0.9917757511138916,0.817933976650238,1.1017286777496338,0.21130165457725525,0.20961587131023407,0.21298743784427643,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=6038520956430662144',
4,23,1.6357214584097997e+18,b'Gaia DR2 6235172592479759232',6.235172592479759e+18,98841542.0,2015.5,236.0555365057294,0.05192782016805949,-25.383192170547243,0.03516395442275301,6.836039548354438,0.05811953460714942,117.6203384399414,-15.46959772378112,0.11159264553933756,-24.239532709786374,0.08761287642644165,-0.42369648814201355,-0.28945571184158325,0.24973611533641815,-0.40128716826438904,-0.2059650868177414,-0.46724483370780945,0.628717839717865,0.03661886975169182,-0.1359952688217163,-0.5606196522712708,169.0,160.0,162.0,7.0,6.523066997528076,302.24365234375,0.0,0.0,31.0,True,278.4632263183594,1.4016794149414915,0.010104933055135058,-0.055516596883535385,19.0,8.0,0.07741864770650864,0.0,22.0,False,195.0,201466.25855957635,749.8931628332712,268.6599426269531,12.427860260009766,21.0,61524.411534678096,808.3300148066061,76.11298370361328,13.378769874572754,21.0,210508.57145943932,1862.9541918386408,112.99717712402344,11.45374584197998,1.3502657413482666,0.0,1.9250240325927734,0.9509096145629883,0.9741144180297852,-3.097984494620558,6.883606204033789,7.0,4000.0,3.0,0.0,b'NOT_AVAILABLE',345.13940202297636,22.998857692511802,239.55023840355398,-5.460887978106934,100001.0,3858.5,3786.75,4237.02001953125,2.297300100326538,2.0648999214172363,2.4719998836517334,1.159999966621399,1.0769000053405762,1.2654000520706177,200111.0,1.2501840591430664,1.0367878675460815,1.298008918762207,0.312116414308548,0.30835139751434326,0.3158814311027527,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=6235172592479759232',
5,30,1.6357214584097997e+18,b'Gaia DR2 6043732950778719744',6.04373295077872e+18,914882286.0,2015.5,242.18189519491233,0.04346869089184647,-25.37693632002014,0.021826414375209657,6.235051326650902,0.04555872292516028,136.8574676513672,-8.252826909381785,0.09961087965891867,-25.447885637858807,0.06844984870472408,-0.1766868680715561,-0.03423386439681053,-0.4134964346885681,-0.35669490694999695,0.12264545261859894,-0.24022307991981506,-0.3480846583843231,-0.20065626502037048,0.19111360609531403,0.02150615118443966,378.0,378.0,367.0,11.0,9.65435791015625,687.8411865234375,0.0,0.0,31.0,True,216.036865234375,1.6000757659027571,0.006427504128987953,0.024243256077170372,43.0,10.0,0.06337029486894608,0.0,47.0,True,399.0,6846309.831172328,2654.7831347703236,2578.8583984375,8.599724769592285,46.0,3761041.0161342192,4250.970706209109,884.748779296875,8.913118362426758,46.0,4421844.7562185405,5994.286666400857,737.6765747070312,8.147911071777344,1.195225715637207,0.0,0.7652072906494141,0.31339359283447266,0.4518136978149414,-2.468494646581064,0.47598655884552626,9.0,6000.0,4.5,0.0,b'NOT_AVAILABLE',349.44445085322593,19.189858752309423,244.98609161678704,-4.321099308025568,100001.0,5950.5,5804.099609375,6170.0,,,,,,,200111.0,2.470294237136841,2.2976574897766113,2.5964853763580322,6.892962455749512,6.8219685554504395,6.963956356048584,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=6043732950778719744',
6,44,1.6357214584097997e+18,b'Gaia DR2 6243816063844045312',6.243816063844045e+18,132875884.0,2015.5,241.81016386405966,0.05060780504511071,-20.86451287557642,0.026566245194455003,7.097126557202516,0.0573620695718532,123.7250747680664,-11.166332461294086,0.10321388798741357,-22.90509592327967,0.07303275366445601,-0.07224659621715546,-0.27921774983406067,-0.11156405508518219,-0.26974013447761536,-0.16760028898715973,-0.09566101431846619,-0.02703890949487686,-0.3124409317970276,0.1673966944217682,-0.10497967153787613,152.0,0.0,152.0,0.0,7.691104412078857,321.1175231933594,0.2019621366505664,8.523631249594201,31.0,False,19.150304794311523,1.3545926858335164,0.008349501233942555,0.06933268159627914,17.0,10.0,0.09933371841907501,0.0,19.0,False,170.0,77375.7202880365,236.70587390838426,326.885498046875,13.466854095458984,17.0,17487.399166752206,229.5489499334799,76.18157196044922,14.744575500488281,17.0,93089.85221801585,739.1588220533305,125.94025421142578,12.339664459228516,1.429094910621643,0.0,2.4049110412597656,1.2777214050292969,1.1271896362304688,-9.06423451993028,3.712403800221932,10.0,4000.0,3.0,0.0,b'NOT_AVAILABLE',352.67131003811073,22.565154114273312,243.80566054869902,0.04787607674430532,100001.0,3417.0,3378.0,3824.0,,,,,,,200111.0,1.118755578994751,0.8932837247848511,1.1447374820709229,0.15372520685195923,0.1510041058063507,0.15644630789756775,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=6243816063844045312',
7,48,1.6357214584097997e+18,b'Gaia DR2 6243922063636859008',6.243922063636859e+18,1517831581.0,2015.5,242.236334058673,0.057477487156543806,-20.56284106768928,0.02977899177652245,6.9450487018051525,0.053815003957177705,129.05413818359375,-8.99967311754777,0.12017108871196616,-25.069269308082088,0.07952234519431109,0.04275720193982124,-0.27868935465812683,-0.5307609438896179,0.048441331833601,-0.2932666838169098,0.1262183040380478,-0.5135228633880615,-0.18123596906661987,0.1481223851442337,-0.2840439975261688,150.0,150.0,142.0,8.0,7.185983180999756,292.5888366699219,0.0,0.0,31.0,True,446.8907775878906,1.4470909717626845,0.009150030009172206,0.08201675117015839,17.0,8.0,0.07634012401103973,0.0,22.0,False,185.0,427820.48322911153,717.5146994131318,596.2532958984375,11.610211372375488,21.0,145463.21824286762,507.42114435449304,286.67156982421875,12.444504737854004,21.0,409150.7409526209,1141.7611979318674,358.35052490234375,10.73221206665039,1.2963707447052002,0.0,1.7122926712036133,0.8342933654785156,0.8779993057250977,-7.475146000316421,1.3000803714868088,7.0,4000.0,3.0,0.0,b'NOT_AVAILABLE',353.2047881573763,22.48109288051455,244.14099096544373,0.4186331997415106,100001.0,4075.666748046875,3966.333251953125,4219.66748046875,,,,,,,200111.0,1.4977964162826538,1.397312879562378,1.5815091133117676,0.5576926469802856,0.5517880916595459,0.5635972023010254,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=6243922063636859008',
8,55,1.6357214584097997e+18,b'Gaia DR2 6243909281813798016',6.243909281813798e+18,1256790568.0,2015.5,242.1463756889472,0.14782318211955225,-20.75833241487241,0.06273876575906874,7.886727312231473,0.15551321582849645,50.714195251464844,-11.114762486490458,0.2735361501539327,-26.42972948680769,0.17218475336497768,-0.022975891828536987,-0.5410686731338501,-0.3108397424221039,-0.035992059856653214,0.11954142898321152,-0.14041589200496674,-0.09852318465709686,-0.0902666375041008,-0.08812088519334793,-0.12395127862691879,186.0,186.0,169.0,17.0,29.072290420532227,1452.1322021484375,0.32600260144491244,23.055869318190318,31.0,True,7.194353103637695,1.529931470133707,0.019693086566123855,0.1625535637140274,20.0,8.0,0.1424364298582077,0.0,24.0,False,193.0,9737872.575834667,4615.419789336925,2109.856201171875,8.217205047607422,21.0,5108827.930730645,9119.35084970029,560.2183837890625,8.580584526062012,22.0,6563365.0631468315,11377.852515879938,576.8544921875,7.719103813171387,1.198638916015625,0.0,0.861480712890625,0.36337947845458984,0.49810123443603516,1.3426297077163358,2.886426389288834,14.0,6750.0,4.5,-1.5,b'NOT_AVAILABLE',352.98809603225703,22.409043344481134,244.09455752259137,0.21091721018769935,100001.0,5547.2998046875,5360.89990234375,5736.39990234375,,,,,,,200111.0,2.715902090072632,2.539794445037842,2.908051013946533,6.292881011962891,6.149721622467041,6.43604040145874,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=6243909281813798016',
9,56,1.6357214584097997e+18,b'Gaia DR2 6051735162041951616',6.051735162041951e+18,1565164544.0,2015.5,245.7825577057529,0.04290211673699576,-23.016774107241147,0.02463523154670628,7.14709813528163,0.04376648482131768,163.3007049560547,-7.449213315410938,0.10534247662348581,-25.298381751443248,0.0692498113678881,-0.30929526686668396,0.19259627163410187,-0.5180320739746094,0.05202591419219971,0.006781780626624823,0.03620966151356697,-0.5788219571113586,-0.32532885670661926,0.1112452819943428,-0.11538701504468918,327.0,327.0,298.0,29.0,12.352147102355957,704.0679931640625,0.0,0.0,31.0,True,401.5487365722656,1.438999886675706,0.0072730241993600505,-0.028711069375276566,37.0,12.0,0.06864342838525772,0.0,39.0,False,343.0,553946.2675007835,1432.6020809282004,386.6714172363281,11.329696655273438,38.0,187007.65041059352,1382.800235542335,135.23837280273438,12.17173957824707,38.0,535722.331127146,3097.7975291480125,172.9365234375,10.439570426940918,1.304693341255188,0.0,1.7321691513061523,0.8420429229736328,0.8901262283325195,-10.78115980327339,3.0628355495154547,13.0,4000.0,3.0,0.0,b'NOT_AVAILABLE',353.63286919240335,18.394416454022615,247.81111670031274,-1.4236779960184056,100001.0,4174.0,3976.0,4454.2646484375,2.0947000980377197,1.7568999528884888,2.57069993019104,1.0829999446868896,0.9039000272750854,1.2239999771118164,200111.0,1.5333930253982544,1.3464999198913574,1.6899179220199585,0.6430007219314575,0.6371509432792664,0.6488505005836487,b'http://geadata.esac.esa.int/data-server/datalink/links?ID=6051735162041951616',
