n  |dist(asec)|prob. |     link ref      |     link      |        identifier       |typ| coord1                    |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |bib |not
1  |  35237.84|    99|2013ApJ...762...88M|B              |CD-36 7429B              |TT*|177.098883 -37.480139      |     ~|15.43 |14.00 |     ~|11.45 |M1V            |  59|   0
2  |  17718.00|   100|2005ApJ...634.1385M|B              |CD-29 8887               |TT*|167.307488 -30.027744      |     ~|12.95 |11.119|10.642| 8.875|M2Ve           |  85|   0
3  |  55726.32|   100|2014ApJ...788...81M|B              |V* V1249 Cen             |TT*|183.8779996 -39.8118414    |     ~|13.09 |11.160|10.919| 9.50 |M0.5           |  63|   0
4  |   9844.99|    93|2015ApJ...798...73G|B              |2MASS J11064461-3715115  |LM*|166.685900 -37.253203      |     ~|     ~|     ~|     ~|     ~|M9             |   4|   0
5  | 470620.99|     0|2012ApJ...758...56S|(null)         |LSPM J1844+7129W         |PM*|281.04046 +71.48828        |     ~|     ~|     ~|     ~|     ~|M4.1V          |   7|   0
6  |  69682.45|   100|2005ApJ...634.1385M|B              |HD 109573B               |*  |189.002312 -39.871025      |     ~|     ~|13.3  |     ~|10.78 |M2.5           |  69|   0
7  |  73347.17|   100|2005ApJ...634.1385M|B              |TWA 20                   |Ro*|187.90862 -45.98317        |     ~|14.10 |13.240|     ~|10.682|M2             |  39|   0
8  |  39412.23|    50|2015ApJ...798...73G|B              |UCAC3 133-139341         |PM*|164.710583 -23.772378      |     ~|17.20 |15.58 |15.53 |     ~|M5.1           |   3|   0
9  |     30.94|   100|2005ApJ...634.1385M|B              |V* TW Hya                |TT*|165.4662717 -34.7047314    |     ~|11.94 |10.50 |10.626| 9.18 |K6Ve           |1204|   1
10 |  14342.36|   100|2005ApJ...634.1385M|B              |CD-34 7390B              |TT*|170.322692 -34.780508      |     ~|13.43 |11.96 |11.31 | 9.88 |M1Ve           |  53|   0
11 |  22223.14|   100|2010A&A...520A..15M|B              |CD-33 7795               |TT*|172.9802404 -34.6075686    |     ~|12.97 |11.524|11.150| 9.150|M2Ve           | 149|   0
12 |  42631.74|    60|2015ApJ...798...73G|B              |2MASS J11511119-4132064  |*  |177.796633 -41.535122      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
13 |  35971.59|    75|2015ApJ...798...73G|B              |2MASS J11501755-3407074  |*  |177.573150 -34.118747      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
14 |  70835.94|    14|2015ApJ...798...73G|B              |2MASS J12333935-3040139  |*  |188.413988 -30.670536      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
15 |  39032.76|   100|2010A&A...520A..15M|B              |HD 98800                 |RS*|170.52204061 -24.77771031  |     ~|10.27 | 8.912| 9.257| 7.386|K5V(e)         | 249|   0
16 |  30141.54|    99|2013ApJ...762...88M|B              |TWA 26                   |BD*|174.963083 -31.989306      |     ~|20.1  |     ~|18.1  |15.83 |M9:            |  90|   0
17 |  49488.13|   100|2014ApJ...788...81M|B              |TWA 23                   |TT*|181.86408 -32.78342        |     ~|14.157|12.7  |     ~|     ~|M3.5           |  48|   0
18 | 102120.39|     0|2005ApJ...634.1385M|B              |V* V1268 Cen             |TT*|200.405108 -44.364403      |     ~|     ~|12.952|12.08 |10.965|M0.5           |  37|   0
19 |  69534.50|   100|2008A&A...491..829K|B              |TWA 11C                  |PM*|188.953913 -39.840147      |     ~|15.94 |14.43 |14.07 |     ~|~              |  24|   0
20 |  79389.56|    20|2015ApJ...798...73G|B              |2MASS J12384389-2705384  |*  |189.682887 -27.094022      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
21 |  31992.42|    99|2015ApJ...798...73G|B              |TWA 33                   |PM*|174.890942 -30.666747      |     ~|     ~|     ~|     ~|     ~|M4.7(opt)      |  17|   0
22 |  70203.93|   100|2014ApJ...788...81M|B              |V* V1252 Cen             |TT*|188.76771 -41.61072        |     ~|14.39 |13.045|11.4  |10.506|M2Ve           |  64|   0
23 |  36879.52|    99|2013ApJ...762...88M|B              |CD-26 8623               |TT*|173.17187 -26.86553        |     ~|13.69 |12.23 |11.14 | 9.637|M3Ve           |  77|   0
24 |  70203.93|    75|2013ApJ...762...88M|S              |V* V1252 Cen             |TT*|188.76771 -41.61072        |     ~|14.39 |13.045|11.4  |10.506|M2Ve           |  64|   0
25 |  26935.89|    17|2015ApJ...798...73G|B              |2MASS J10292874-3823394  |*  |157.369754 -38.394283      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
26 |  99109.89|    75|2015ApJS..219...33G|S              |2MASS J12492353-2035592  |LM*|192.348043 -20.599779      |     ~|     ~|     ~|     ~|     ~|M2             |   1|   0
27 |  14339.58|   100|2010A&A...520A..15M|B              |CD-34 7390A              |TT*|170.321746 -34.779297      |     ~|12.88 |11.46 |11.43 | 9.57 |M1Ve           |  74|   0
28 |  39032.76|    99|2013ApJ...762...88M|B              |HD 98800                 |RS*|170.52204061 -24.77771031  |     ~|10.27 | 8.912| 9.257| 7.386|K5V(e)         | 249|   0
29 |  49488.13|    75|2013ApJ...762...88M|S              |TWA 23                   |TT*|181.86408 -32.78342        |     ~|14.157|12.7  |     ~|     ~|M3.5           |  48|   0
30 |  27841.31|    63|2015ApJ...798...73G|B              |2MASS J11283294-2924353  |*  |172.137287 -29.409825      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
31 |  49488.13|   100|2005ApJ...634.1385M|S              |TWA 23                   |TT*|181.86408 -32.78342        |     ~|14.157|12.7  |     ~|     ~|M3.5           |  48|   0
32 |  34493.79|    81|2015ApJ...798...73G|B              |2MASS J11023986-2507113  |*  |165.666088 -25.119817      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
33 |  36879.52|   100|2010A&A...520A..15M|B              |CD-26 8623               |TT*|173.17187 -26.86553        |     ~|13.69 |12.23 |11.14 | 9.637|M3Ve           |  77|   0
34 |  30059.71|    99|2015ApJ...798...73G|B              |2MASS J11382693-3843138  |*  |174.612229 -38.720517      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
35 |  20962.57|    75|2015ApJS..219...33G|S              |2MASS J11195251-3917150  |LM*|169.968799 -39.287506      |     ~|     ~|     ~|     ~|     ~|M3             |   2|   0
36 |  50549.56|    53|2015ApJ...798...73G|B              |2MASS J12093096-3820290  |*  |182.379004 -38.341411      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
37 |  35237.84|   100|2010A&A...520A..15M|B              |CD-36 7429B              |TT*|177.098883 -37.480139      |     ~|15.43 |14.00 |     ~|11.45 |M1V            |  59|   0
38 |  43699.60|    94|2015ApJ...798...73G|B              |2MASS J10190109-2646336  |*  |154.754571 -26.776000      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
39 |  74708.95|   100|2005ApJ...634.1385M|B              |TWA 16                   |Ro*|188.734583 -45.635453      |     ~|     ~|12.684|     ~|10.310|M2.5           |  49|   0
40 |  73124.71|    95|2015ApJ...798...73G|B              |2MASS J12414195-3625573  |*  |190.424813 -36.432611      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
